"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITEM","WHITEF","BLACKM","BLACKF","HISPM","HISPF","AIANM","AIANF","ASIANM","ASIANF","NHPIM","NHPIF","APIM","APIF","TWORACEM","TWORACEF","ADDRACEM","ADDRACEF","UNKRACEM","UNKRACEF","TOTRACEM","TOTRACEF","NOTHISPM","NOTHISPF","UNKHISPM","UNKHISPF","TOTHCATM","TOTHCATF"
"116",1980,10,"DE",3,"Delaware",595971,527,21,889,36,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1417,57,NA,NA,1417,57,NA,NA
"117",1980,11,"DC",3,"District of Columbia",636894,92,2,2983,68,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,3075,70,NA,NA,3075,70,NA,NA
"118",1980,12,"FL",3,"Florida",10192778,10187,342,9435,482,276,8,2,0,NA,NA,NA,NA,3,0,NA,NA,NA,NA,269,15,19896,839,9,1,19611,830,NA,NA
"119",1980,13,"GA",3,"Georgia",5568343,4804,245,6826,325,3,NA,2,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,7,0,11639,571,0,NA,11636,571,NA,NA
"120",1980,15,"HI",4,"Hawaii",978174,120,5,22,3,NA,NA,0,0,NA,NA,NA,NA,421,5,NA,NA,NA,NA,391,18,954,31,NA,NA,954,31,NA,NA
"121",1980,16,"ID",4,"Idaho",962203,746,21,21,1,75,0,23,3,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,0,792,25,717,25,0,0,NA,NA
"122",1980,17,"IL",2,"Illinois",11443461,4360,145,7193,201,545,8,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,11553,346,11008,338,0,0,NA,NA
"123",1980,18,"IN",2,"Indiana",5480425,4709,133,1725,108,58,0,6,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,0,6442,241,6384,241,0,0,NA,NA
"124",1980,19,"IA",2,"Iowa",2907975,1945,66,440,24,38,0,30,4,NA,NA,NA,NA,4,0,NA,NA,NA,NA,0,0,2419,94,2381,94,0,0,NA,NA
"125",1980,20,"KS",2,"Kansas",2384859,1547,66,785,45,73,3,46,2,NA,NA,NA,NA,3,0,NA,NA,NA,NA,0,0,2381,113,2308,110,0,0,NA,NA
