"","YEAR","STATEID","STATE","REGION","state_name","Population","ADCRNEWM","ADCRNEWF","ADCRNOM","ADCRNOF","ADTRANSM","ADTRANSF","ADAWOLM","ADAWOLF","ADESCAPM","ADESCAPF","ADAWESM","ADAWESF","ADRETM","ADRETF","ADOTHM","ADOTHF","ADTOTM","ADTOTF"
"186",1981,27,"MN",2,"Minnesota",4131444,0,0,0,0,0,0,NA,NA,NA,NA,24,5,0,0,0,0,1237,57
"187",1981,28,"MS",3,"Mississippi",2556768,49,2,36,1,4,0,NA,NA,NA,NA,70,2,0,0,242,7,2747,133
"188",1981,29,"MO",2,"Missouri",4929442,0,0,50,0,0,2,NA,NA,NA,NA,164,5,0,2,9,0,3316,157
"189",1981,30,"MT",4,"Montana",803990,0,4,11,0,0,0,NA,NA,NA,NA,31,1,5,0,0,0,525,25
"190",1981,31,"NE",2,"Nebraska",1581786,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,96,0,918,29
"191",1981,32,"NV",4,"Nevada",881545,0,0,0,0,18,6,NA,NA,NA,NA,19,0,0,0,0,0,1141,54
"192",1981,33,"NH",1,"New Hampshire",947717,0,0,0,0,0,0,NA,NA,NA,NA,18,1,0,0,0,0,285,5
"193",1981,34,"NJ",1,"New Jersey",7430968,0,0,0,0,0,0,NA,NA,NA,NA,67,2,16,0,0,0,4155,244
"194",1981,35,"NM",4,"New Mexico",1363794,46,4,118,12,100,6,NA,NA,NA,NA,27,1,0,0,332,0,1200,55
"195",1981,36,"NY",1,"New York",17589746,392,5,482,11,219,2,NA,NA,NA,NA,95,5,66,1,0,0,12008,473
"196",1981,37,"NC",3,"North Carolina",6019141,0,0,0,0,0,0,NA,NA,NA,NA,704,21,0,0,65,19,8881,521
"197",1981,38,"ND",2,"North Dakota",668969,0,0,5,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,206,2
"198",1981,39,"OH",2,"Ohio",10757088,0,0,205,22,83,5,NA,NA,NA,NA,40,0,0,0,0,0,9736,831
"199",1981,40,"OK",3,"Oklahoma",3206124,0,0,0,0,0,0,NA,NA,NA,NA,143,9,4,1,47,2,2656,229
